datetime,category,headline,id,image,related,source,summary,url
2024-10-02 00:35:38,company,"NetEase, Inc. (NTES): Among the Best Bargain Stocks to Buy In October",130187041,https://s.yimg.com/ny/api/res/1.2/Hj7PVO7ojb3FUfXIK_Azrw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/1d222ff406ade581b80433de2cb9b1bd,NTES,Yahoo,"We recently compiled a list of the 8 Best Bargain Stocks To Buy in October. In this article, we are going to take a look at where NetEase, Inc. (NASDAQ:NTES) stands against the other bargain stocks. The Aftermath of an Easing Cycle September has historically been sluggish for stocks. However, with an easing cycle and an […]",https://finnhub.io/api/news?id=40590c7c69a4b406da4376266e433643000286e5f7400e80fb1094c74501f52c
2024-10-02 10:07:00,company,Here is how many Chinese ADRs are performing from the past week,130188221,,NTES,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=e3012da14814ac3816cd070c5762328b041d626579e21616ab2585165f720587
2024-10-02 11:05:00,company,NetEase Inc (NTES) Trading 4.88% Higher on Oct 2,130190496,,NTES,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=5beb4cd4064e153f7524dda1b5e49b16c6b323f9933a77877c0e7fdb64fd3006
2024-10-03 05:30:22,company,Top 50 High Quality Dividend Stocks - September 2024 Results,130198321,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1514645815/image_1514645815.jpg?io=getty-c-w1536,NTES,SeekingAlpha,"I track 50 high-quality dividend stocks, updating valuations to identify Strong Buy, Buy, Hold, and Trim opportunities. Read more to see the September update.",https://finnhub.io/api/news?id=9da7e9ff430dfb43263a98d677c5b383d10f5bae4657dfad2480164a33a6fc33
2024-10-03 12:04:00,company,"DRAG, a newly launched ETF that provides exposure to China",130203729,,NTES,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=73c9c86fe80cd6a447c1ca78951fd20666cea992f498508c8b1e546bff1407f1
2024-10-03 12:15:00,company,China blue chips take a breather as economic stimulus-driven rally loses steam,130203411,,NTES,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=6622446eae8ff9e212d7a01b42d8316e8c55a3dd7ff9949bc985d1419600d2f1
2024-10-03 12:15:00,company,Newly launched ETF DRAG offers exposure to China,130203728,,NTES,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=48ea8a2521ce3c03cf9d45c40f533c43621669a0970303160e444e079ec039bd
2024-10-03 12:18:00,company,NetEase - Chinese Gaming And Multi-Media Play,130211800,,NTES,TalkMarkets,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=207f1704d439bfc388c84e9d6650d04f47fe4ff18763dafd55e8eec694612cd9
2024-10-04 16:10:35,company,NetEase (NTES): Attractive Investment Opportunity with R&D Focus,130228920,https://s.yimg.com/ny/api/res/1.2/Hj7PVO7ojb3FUfXIK_Azrw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/1d222ff406ade581b80433de2cb9b1bd,NTES,Yahoo,"We recently published a list of 6 Best Video Game Stocks To Invest In. In this article, we are going to take a look at where NetEase (NASDAQ:NTES) stands against the other best video game stocks to invest in. Video Gaming Market According to a report by Precedence Research, the global video games market was […]",https://finnhub.io/api/news?id=40fe8744c9d0061a9db94670503ad4733da729e90d9cf96e258bc6e1130dcb2c
2024-10-04 16:24:38,company,"NetEase (NTES) Boasts 35 Hedge Fund Investors, Indicating Strong Market Confidence",130228919,https://s.yimg.com/ny/api/res/1.2/Hj7PVO7ojb3FUfXIK_Azrw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/1d222ff406ade581b80433de2cb9b1bd,NTES,Yahoo,"We recently published a list of 7 Cheap Chinese Stocks To Invest In Now. In this article, we are going to take a look at where NetEase (NASDAQ:NTES) stands against the other cheap Chinese stocks to invest in now. The Economy of China According to a report by the International Monetary Fund (IMF), China’s economy […]",https://finnhub.io/api/news?id=a9d5e8db1a7fc8252948dea422d1710d8fb9ce3a31dfbc5602c6eacd757b0fe8
2024-10-07 04:59:00,company,"NetEase price target raised by $5 at Macquarie, here's why",130254252,,NTES,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=7d756617e67d5edd62a5c28a788de77f123f01f194e4cde9457bf097ecdc5388
2024-10-07 07:45:00,company,Largest borrow rate increases among liquid names,130253480,,NTES,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ff3dd05f02b4b02479ce46640b7dc59fcf7228c1685fcb2c207282d38e33ca8b
2024-10-07 11:05:00,company,NetEase Inc (NTES) Stock Price Down 4.15% on Oct 7,130254250,,NTES,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=dca28dc7eb66ea7c71c727eb553f60b048e7c30846082539fbaa1256eafdb8ae
2024-10-08 05:52:00,company,NetEase (NTES) Stock Dips Amid Game Launch Issues in China,130297145,,NTES,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=27d98bf92ee3117e6840bd0d1525c0b7575dd97b97b18f8b5e631659082c2002
2024-10-08 07:45:00,company,Chinese Stocks Plunge As Stimulus Hopes Fade: Hong Kong Posts Worst Daily Decline Since October 2008,130282470,,NTES,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b4ace00a59207e04fb91c2852b2cb32a514657caa9df26ff8d1a4ba6d8c98415
